Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C2, C3",CP_Elec_10x10,5,C_Polarized,
"C10, C4, C5",CP_EIA-3528-12_Kemet-T,3,C_Polarized,
"C11, C14, C15, C16, C18, C21, C22, C24, C28, C29, C32, C35, C37, C38, C39, C40, C42, C49, C59, C64, C66, C70, C71, C72, C73, C76",0805,26,10u,
"C17, C45, C62, C65, C68, C69, C7, C81",0603,8,100n,
"C19, C20, C23, C25, C26, C27, C30, C31, C33, C34, C41, C44, C46, C47, C50, C51, C6, C60, C61, C63, C67, C79, C80",0603,23,1u,
"C43, C48",0603,2,10n,
"C52, C54, C55, C57, C58",0603,5,100p,
C53,0603,1,1n,
C56,0603,1,20n,
"C77, C78",0603,2,27p,
"D10, D26, D27, D28, D29, D4, D6, D9",1206,8,YLED1206R,
"D11, D19, D20, D21, D22, D32, D34, D35, D36, D37, D42, D44, D49",D_SOD-128,13,D_Schottky,
"D12, D13, D14, D16, D24, D25, D30, D33, D40, D41, D45, D46, D5",D_SOD-323F,13,D_Zener,
"D15, D17, D18, D2, D23, D3, D31, D38, D39, D43, D47, D48, D50, D8",SOT-23-3,14,ESDA5V3L,
F1,2512,1,Fuse,
FL1,SW_MEC_5GSH9,1,Choke_CommonMode_FerriteCore_1234,
"IC1, IC2, IC3, IC4",SOIC127P600X175-8N,4,UCC27282DR,
IC5,SOIC127P600X175-14N,1,SN74LVC14ADR,
"IC6, IC7",SOIC127P600X175-14N,2,SN74LVC11ADR,
IC8,PLT237T10WH,1,PLT237_T10WH,
"J1, J10, J11, J2, J27, J7",4PIN SMD 2.54,6,Conn_01x04,
"J12, J14, J17",terminal 10pin,3,Conn_01x10,
J13,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,
J16,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J3,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"J32, J33, J42",TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal,3,Screw_Terminal_01x02,
J4,TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,1,Screw_Terminal_01x02,
"J5, J6",BNC_TEConnectivity_1478204_Vertical,2,Conn_Coaxial,
L1,L_Coilcraft_XAL6020-XXX,1,12uH,
L2,L_10.4x10.4_H4.8,1,15uH,
"Q1, Q15, Q16, Q17, Q18, Q2, Q3, Q4",TO-252-2,8,QM6006D,
"Q10, Q11, Q12, Q13, Q14, Q19, Q20, Q5, Q6, Q7, Q8, Q9",SOT-23,12,2N7002,
"R100, R103, R106, R109, R111, R112, R128, R131, R133, R134, R135, R136, R142, R147, R148, R149, R43, R45, R48, R56, R57, R59, R64, R65, R70, R74, R80, R82, R84",0603,29,10k,
"R101, R104, R105, R108, R118, R119, R120, R121, R122, R127, R130, R137, R138, R139, R157, R158, R44, R46, R49, R52, R53, R54, R55, R81, R83, R85, R93, R94",0603,28,100R,
"R102, R132, R47, R92",2512,4,100R 0.5W,
"R107, R110, R129, R150, R151, R50, R66, R68, R71, R72, R86, R87",0603,12,1k,
"R113, R114, R73, R75, R96",0603,5,220R,
R115,0603,1,0R,
"R123, R124, R125, R31, R32, R33, R35, R41, R63",0805,9,10R,
"R153, R154, R159, R160, R161, R162",0603,6,22R,
"R155, R156",0603,2,5.1k,
"R29, R30, R60, R61, R62",0603,5,R,
"R34, R51, R88, R89, R90, R91",0805,6,220R,
"R36, R58",0805,2,10k,
R67,0603,1,5k1,
"R69, R77",0603,2,4k7,
R76,0603,1,1M,
"R95, R97, R98, R99",1206,4,5R,
RV1,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,R_Potentiometer,
TP1,TestPoint_Pad_2.0x2.0mm,1,nrst,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G474RETx,
U2,PLR237T10BK,1,PLR237_T10BK,
U3,TO-252-3_TabPin2,1,LF15_TO252,
U4,Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,TPS54560BDDA,
U7,SOT-23-6,1,LV2842XLVDDCR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal,
