Designator,Mid X,Mid Y,Rotation,Layer
C1,306.9,-133.1,180.0,bottom
C10,263.9,-134.65,90.0,top
C11,289.6,-70.7,180.0,top
C12,294.7,-77.7325,270.0,bottom
C13,283.8,-77.7325,270.0,bottom
C14,308.3,-70.75458,0.0,top
C15,308.3,-68.65458,0.0,top
C16,304.4,-80.3,0.0,top
C17,288.2,-74.58,90.0,top
C18,304.4,-82.3,0.0,top
C19,241.4,-82.6,90.0,top
C2,307.0325,-108.0,180.0,bottom
C20,274.1,-141.475,270.0,top
C21,289.25,-77.28,0.0,top
C22,277.5,-127.2,0.0,top
C23,266.6,-112.0,90.0,top
C24,277.5,-125.2,0.0,top
C25,265.0,-112.0,90.0,top
C26,278.325,-113.975,0.0,top
C27,264.125,-123.2,90.0,top
C28,316.0,-99.4,180.0,bottom
C29,315.95,-114.0,180.0,bottom
C3,306.8,-120.3,180.0,bottom
C30,256.8,-76.4,0.0,top
C31,244.4,-76.7,0.0,top
C32,302.4,-136.1,0.0,top
C33,249.5,-153.675,270.0,top
C34,277.3,-138.35,90.0,top
C35,302.7,-123.2,0.0,top
C37,316.0,-111.9,180.0,bottom
C38,316.0,-101.6,180.0,bottom
C39,263.9,-83.5,45.0,bottom
C4,279.9,-84.3,0.0,top
C40,267.5,-102.2,180.0,bottom
C41,261.0,-138.325,90.0,top
C42,261.0,-135.05,270.0,top
C43,310.3,-75.65458,90.0,top
C44,256.7,-153.675,270.0,top
C45,299.8,-140.6,270.0,top
C46,320.0,-152.375,90.0,top
C47,322.4,-91.4,0.0,top
C48,274.405,-70.1,180.0,bottom
C49,276.8,-67.8,270.0,top
C5,279.9,-80.8,0.0,top
C50,259.0,-116.9,180.0,top
C51,274.8,-127.4,270.0,top
C52,248.9,-114.6,270.0,top
C53,236.8,-117.8,180.0,top
C54,247.4,-122.0,270.0,top
C55,247.9,-106.9,180.0,top
C56,247.2,-114.6,90.0,top
C57,251.4,-106.8,0.0,top
C58,238.2,-112.1,90.0,top
C59,265.4,-82.0,45.0,bottom
C6,239.8,-86.13,270.0,top
C60,263.8,-153.725,270.0,top
C61,270.6,-153.7,270.0,top
C62,238.825,-157.0,180.0,top
C63,277.3,-129.1,0.0,top
C64,302.7,-110.7,0.0,top
C65,235.6,-152.1,0.0,top
C66,302.7,-98.1,0.0,top
C67,295.6,-112.425,270.0,top
C68,300.1,-115.1,270.0,top
C69,300.0875,-102.6,270.0,top
C7,300.0,-127.6,270.0,top
C70,315.85,-137.1,180.0,bottom
C71,315.85,-139.2,180.0,bottom
C72,315.8,-124.7,180.0,bottom
C73,315.8,-126.8,180.0,bottom
C76,267.5,-104.3,180.0,bottom
C77,259.0,-113.7,180.0,top
C78,259.0,-115.3,180.0,top
C79,295.6,-123.2,270.0,top
C80,295.5,-101.725,270.0,top
C81,238.825,-153.6,0.0,top
D10,293.3,-81.6,315.0,top
D11,309.4,-80.8,180.0,top
D12,238.0,-82.625,90.0,top
D13,272.3,-141.625,270.0,top
D14,250.5,-148.7,0.0,top
D15,254.9,-148.6,90.0,top
D16,259.4,-148.6,0.0,top
D17,294.7375,-141.7,180.0,top
D18,294.8,-137.95,180.0,top
D19,314.0,-93.9,180.0,top
D2,321.2,-135.6,0.0,bottom
D20,307.0,-93.85,180.0,top
D21,300.0,-93.8,180.0,top
D22,292.9,-93.85,180.0,top
D23,324.8,-85.3,270.0,top
D24,322.3,-93.3,0.0,top
D25,318.3,-155.675,270.0,top
D26,279.4,-140.7,90.0,top
D27,268.1,-96.0,315.0,top
D28,263.3,-101.0,315.0,top
D29,266.3,-97.7,315.0,top
D3,321.0,-109.8,0.0,bottom
D30,272.3,-138.275,90.0,top
D31,242.2,-89.35,180.0,top
D32,284.6,-70.2,0.0,top
D33,247.9,-103.1,0.0,top
D34,244.5,-120.4,270.0,top
D35,241.0,-120.4,270.0,top
D36,244.5,-113.6,270.0,top
D37,241.0,-113.6,270.0,top
D38,248.5,-118.1,180.0,top
D39,268.9,-148.6,90.0,top
D4,276.2,-81.5,90.0,top
D40,264.5,-148.6,0.0,top
D41,273.2,-148.5,0.0,top
D42,274.3,-69.3,270.0,top
D43,266.7,-74.6,0.0,top
D44,275.5,-92.2,315.0,top
D45,238.9,-150.3,180.0,top
D46,235.5,-150.3,0.0,top
D47,267.26,-71.9,90.0,bottom
D48,271.882843,-88.017158,225.0,top
D49,313.3,-70.2,180.0,top
D5,238.0,-86.125,270.0,top
D50,322.6,-152.0,270.0,top
D6,319.6,-80.2,90.0,top
D8,242.3,-95.75,180.0,top
D9,254.15,-132.05,0.0,top
F1,315.8,-70.1,270.0,bottom
FL1,249.55,-117.89,270.0,bottom
H4,325.397056,-66.197056,0.0,top
H5,325.397056,-158.797056,0.0,top
H6,232.797056,-66.197056,0.0,top
H7,232.797056,-158.797056,0.0,top
IC1,304.3925,-139.975,0.0,top
IC2,304.6,-127.025,0.0,top
IC3,304.65,-114.5,0.0,top
IC4,304.7125,-101.825,0.0,top
IC5,291.0,-115.565,0.0,top
IC6,290.988,-126.335,0.0,top
IC7,290.988,-104.8275,0.0,top
IC8,243.2,-73.4025,180.0,bottom
J1,244.8,-93.1,90.0,bottom
J10,244.8,-109.4,90.0,bottom
J11,254.15,-109.4,90.0,bottom
J12,316.275,-150.8,0.0,bottom
J13,267.25,-67.5925,180.0,top
J14,279.4,-150.7,0.0,bottom
J16,271.3999998363208,-92.99999983632074,45.0,top
J17,322.275,-86.35,0.0,bottom
J2,235.5,-109.4,90.0,bottom
J27,235.525,-93.1,90.0,bottom
J3,290.23,-137.62,0.0,bottom
J32,324.3,-135.2,90.0,bottom
J33,324.2,-109.8,90.0,bottom
J4,322.5325,-78.4,90.0,bottom
J42,236.8,-117.9,90.0,bottom
J5,238.4,-130.6,0.0,bottom
J6,238.225,-144.025,0.0,bottom
J7,254.1625,-93.1,90.0,bottom
JP1,291.35,-68.2,0.0,top
JP2,305.2,-69.80458,90.0,top
JP3,264.9,-138.55,0.0,top
JP4,274.45,-66.4,0.0,bottom
JP7,249.95,-111.3,180.0,bottom
L1,283.7,-75.32,270.0,top
