Designator,Mid X,Mid Y,Rotation,Layer
D1,201.4,-71.6,90.0,top
D2,208.3,-71.6,90.0,top
D3,209.5,-78.7,270.0,top
D4,209.5,-89.4,90.0,top
D5,201.4,-95.7,270.0,top
D6,208.2,-95.7,270.0,top
J1,202.105,-78.1,270.0,top
J2,202.13,-89.8,270.0,top
R1,207.2,-65.3875,90.0,top
R10,200.3,-65.3875,90.0,top
R11,203.7,-65.3875,90.0,top
R12,203.7,-59.6,90.0,top
R13,200.3,-59.6,90.0,top
R14,206.8,-89.9,270.0,top
R15,207.0,-102.2875,270.0,top
R16,210.4,-102.2875,270.0,top
R17,207.0,-108.0875,270.0,top
R18,210.4,-108.0875,270.0,top
R19,217.4,-108.0875,90.0,top
R2,206.8,-78.2,90.0,top
R20,214.0,-108.0875,90.0,top
R21,203.6,-102.2875,270.0,top
R22,200.2,-102.2875,270.0,top
R23,214.0,-102.2875,90.0,top
R24,217.4,-102.2875,90.0,top
R25,200.2,-108.0875,270.0,top
R26,203.6,-108.0875,270.0,top
R3,210.5,-65.4875,90.0,top
R4,210.5,-59.6875,90.0,top
R5,207.2,-59.6875,90.0,top
R6,217.4,-59.6875,270.0,top
R7,213.9,-59.6875,270.0,top
R8,217.4,-65.4875,270.0,top
R9,213.9,-65.4875,270.0,top
