Designator,Mid X,Mid Y,Rotation,Layer
_50,125.5,-124.0,0.0,top
_49,127.0,-144.0,0.0,top
_48,166.0,-124.5,0.0,top
_47,148.3,-106.3,0.0,top
_46,164.5,-142.5,0.0,top
_45,144.7,-114.7,0.0,top
_44,166.0,-122.5,0.0,top
_43,128.5,-142.5,0.0,top
_42,125.5,-121.0,0.0,top
_41,127.0,-146.0,0.0,top
_40,142.3,-157.8,0.0,top
_39,125.5,-145.5,0.0,top
_38,164.0,-122.5,0.0,top
_37,150.8,-154.3,0.0,top
_36,148.3,-114.7,0.0,top
_35,164.5,-121.0,0.0,top
_34,148.4,-160.1,0.0,top
_33,144.7,-151.8,0.0,top
_32,167.5,-121.0,0.0,top
_31,142.3,-154.2,0.0,top
_30,148.3,-151.8,0.0,top
_29,166.0,-120.5,0.0,top
_28,128.5,-124.0,0.0,top
_27,167.5,-145.5,0.0,top
_26,128.5,-121.0,0.0,top
_25,129.0,-144.0,0.0,top
_24,150.7,-112.3,0.0,top
_23,166.0,-146.0,0.0,top
_22,167.5,-124.0,0.0,top
_21,164.5,-124.0,0.0,top
_20,164.0,-144.0,0.0,top
_19,144.7,-160.1,0.0,top
_18,150.7,-108.7,0.0,top
_17,142.3,-112.3,0.0,top
_16,168.0,-122.5,0.0,top
_15,127.0,-124.5,0.0,top
_14,168.0,-144.0,0.0,top
_13,144.7,-106.3,0.0,top
_12,150.7,-157.7,0.0,top
_11,125.0,-144.0,0.0,top
_10,127.0,-142.0,0.0,top
_9,125.5,-142.5,0.0,top
_8,127.0,-120.5,0.0,top
_7,129.0,-122.5,0.0,top
_6,125.0,-122.5,0.0,top
_5,164.5,-145.5,0.0,top
_4,166.0,-142.0,0.0,top
_3,128.5,-145.5,0.0,top
_2,142.3,-108.7,0.0,top
,167.5,-142.5,0.0,top
C2,127.0,-144.0,0.0,top
D1,172.0,-123.6,270.0,top
D2,121.0,-123.0,270.0,top
H1,146.5,-110.5,0.0,top
H2,146.5,-156.0,0.0,top
R1,172.0,-128.0875,270.0,top
R10,121.0,-143.5875,270.0,top
R2,172.0,-132.0875,270.0,top
R3,172.0,-136.0875,270.0,top
R4,172.0,-140.0875,270.0,top
R5,172.0,-144.0875,270.0,top
R6,121.0,-127.5,270.0,top
R7,121.0,-131.5875,270.0,top
R8,121.0,-135.4125,270.0,top
R9,121.0,-139.5875,270.0,top
