Designator,Footprint,Quantity,Value,LCSC Part #
"_120, _119, _118, _117, _116, _115, _114, _113, _112, _111, _110, _109, _108, _107, _106, _105, _104, _103, _102, _101, _100, _99, _98, _97, _96, _95, _94, _93, _92, _91, _90, _89, _88, _87, _86, _85, _84, _83, _82, _81, _80, _79, _78, _77, _76, _75, _74, _73, _72, _71, _70, _69, _68, _67, _66, _65, _64, _63, _62, _61, _60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,120,,
"C1, C10, C12, C13, C14, C15, C16, C18, C2, C3, C5, C7, C8",0805,13,1u,
"C11, C4, C6, C9",0805,4,10u,
"C17, C19, C20, C21",C_Axial_L5.1mm_D3.1mm_P15.00mm_Horizontal,4,C,
"D1, D11, D12, D17, D18, D23, D24, D29, D30",D_SMA,9,D,
"D10, D13, D15, D16, D19, D21, D22, D25, D28, D7",D_SMA,10,D_Zener,
"D14, D20, D26, D8",1206,4,LED,
D2,SOT-23,1,SP0502BAHT,
J2,Molex_SL_171971-0003_1x03_P2.54mm_Vertical,1,Conn_01x03,
JP1,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
"Q1, Q2, Q3, Q4",TO-252-2,4,QM6006D,
"R1, R2, R3, R4",1206,4,R,
"R10, R16, R21, R26",R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,4,R,
"R11, R27, R28, R5",0805,4,1k,
"R12, R17, R22, R6",0805,4,220R,
"R13, R15, R18, R20, R23, R25, R30, R7, R9",0805,9,10k,
"R14, R19, R24, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,20k,
R29,0805,1,100r,
RV1,Potentiometer_ACP_CA6-VSMD_Vertical,1,R_Potentiometer,
"U1, U10",scr,2,~,
"U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,NA555D,
"U4, U5, U6, U7, U8, U9",DIP-4_W7.62mm,6,SFH617A-1,
