Designator,Mid X,Mid Y,Rotation,Layer
_120,-2.9,20.9,0.0,top
_119,-4.2,19.6,0.0,top
_118,-1.8,19.5,0.0,top
_117,-4.1,24.0,0.0,top
_116,2.2,28.6,0.0,top
_115,-4.7,25.8,0.0,top
_114,4.4,28.2,0.0,top
_113,3.3,21.3,0.0,top
_112,-3.1,26.8,0.0,top
_111,4.9,25.8,0.0,top
_110,4.2,24.1,0.0,top
_109,0.2,20.0,0.0,top
_108,-4.8,21.9,0.0,top
_107,2.3,19.5,0.0,top
_106,-2.1,28.6,0.0,top
_105,4.6,19.8,0.0,top
_104,-4.5,28.3,0.0,top
_103,3.1,26.7,0.0,top
_102,0.0,28.2,0.0,top
_101,4.9,22.3,0.0,top
_100,17.0,20.8,0.0,top
_99,15.7,19.5,0.0,top
_98,18.1,19.4,0.0,top
_97,15.8,23.9,0.0,top
_96,22.1,28.5,0.0,top
_95,15.2,25.7,0.0,top
_94,24.3,28.1,0.0,top
_93,23.2,21.2,0.0,top
_92,16.8,26.7,0.0,top
_91,24.8,25.7,0.0,top
_90,24.1,24.0,0.0,top
_89,20.1,19.9,0.0,top
_88,15.1,21.8,0.0,top
_87,22.2,19.4,0.0,top
_86,17.8,28.5,0.0,top
_85,24.5,19.7,0.0,top
_84,15.4,28.2,0.0,top
_83,23.0,26.6,0.0,top
_82,19.9,28.1,0.0,top
_81,24.8,22.2,0.0,top
_80,37.0,20.8,0.0,top
_79,35.7,19.5,0.0,top
_78,38.1,19.4,0.0,top
_77,35.8,23.9,0.0,top
_76,42.1,28.5,0.0,top
_75,35.2,25.7,0.0,top
_74,44.3,28.1,0.0,top
_73,43.2,21.2,0.0,top
_72,36.8,26.7,0.0,top
_71,44.8,25.7,0.0,top
_70,44.1,24.0,0.0,top
_69,40.1,19.9,0.0,top
_68,35.1,21.8,0.0,top
_67,42.2,19.4,0.0,top
_66,37.8,28.5,0.0,top
_65,44.5,19.7,0.0,top
_64,35.4,28.2,0.0,top
_63,43.0,26.6,0.0,top
_62,39.9,28.1,0.0,top
_61,44.8,22.2,0.0,top
_60,37.0,-3.1,0.0,top
_59,35.7,-4.4,0.0,top
_58,38.1,-4.5,0.0,top
_57,35.8,0.0,0.0,top
_56,42.1,4.6,0.0,top
_55,35.2,1.8,0.0,top
_54,44.3,4.2,0.0,top
_53,43.2,-2.7,0.0,top
_52,36.8,2.8,0.0,top
_51,44.8,1.8,0.0,top
_50,44.1,0.1,0.0,top
_49,40.1,-4.0,0.0,top
_48,35.1,-2.1,0.0,top
_47,42.2,-4.5,0.0,top
_46,37.8,4.6,0.0,top
_45,44.5,-4.2,0.0,top
_44,35.4,4.3,0.0,top
_43,43.0,2.7,0.0,top
_42,39.9,4.2,0.0,top
_41,44.8,-1.7,0.0,top
_40,-2.9,-3.1,0.0,top
_39,-4.2,-4.4,0.0,top
_38,-1.8,-4.5,0.0,top
_37,-4.1,0.0,0.0,top
_36,2.2,4.6,0.0,top
_35,-4.7,1.8,0.0,top
_34,4.4,4.2,0.0,top
_33,3.3,-2.7,0.0,top
_32,-3.1,2.8,0.0,top
_31,4.9,1.8,0.0,top
_30,4.2,0.1,0.0,top
_29,0.2,-4.0,0.0,top
_28,-4.8,-2.1,0.0,top
_27,2.3,-4.5,0.0,top
_26,-2.1,4.6,0.0,top
_25,4.6,-4.2,0.0,top
_24,-4.5,4.3,0.0,top
_23,3.1,2.7,0.0,top
_22,0.0,4.2,0.0,top
_21,4.9,-1.7,0.0,top
_20,24.6,-4.3,0.0,top
_19,15.8,-4.5,0.0,top
_18,15.5,4.2,0.0,top
_17,24.4,4.1,0.0,top
_16,22.3,-4.6,0.0,top
_15,24.9,-1.8,0.0,top
_14,24.9,1.7,0.0,top
_13,22.2,4.5,0.0,top
_12,17.9,4.5,0.0,top
_11,15.3,1.7,0.0,top
_10,15.2,-2.2,0.0,top
_9,18.2,-4.6,0.0,top
_8,17.1,-3.2,0.0,top
_7,23.3,-2.8,0.0,top
_6,23.1,2.6,0.0,top
_5,16.9,2.7,0.0,top
_4,20.0,4.1,0.0,top
_3,24.2,0.0,0.0,top
_2,20.2,-4.1,0.0,top
,15.9,-0.1,0.0,top
C1,79.4,24.1,90.0,top
C10,67.7,-24.9,270.0,top
C11,64.9,-24.9,90.0,top
C12,79.2,10.55,90.0,top
C13,77.1,10.55,90.0,top
C14,75.805,3.2,270.0,top
C15,78.4,13.4,0.0,top
C16,81.505,-1.375,0.0,top
C17,66.7,6.9,180.0,bottom
C18,84.3,24.1125,90.0,top
C19,66.9,-1.3,180.0,bottom
C2,75.9,19.9,270.0,top
C20,66.3,16.7,180.0,bottom
C21,66.6,24.5,180.0,bottom
C3,74.9,48.3,90.0,top
C4,80.3,48.3,270.0,top
C5,68.0,48.3,90.0,top
C6,70.7,48.3,270.0,top
C7,81.6,24.1,90.0,top
C8,78.36,-25.0,90.0,top
C9,75.66,-25.0,90.0,top
D1,82.3,11.1,90.0,top
D10,77.8,52.3,180.0,top
D11,56.1,38.1,180.0,top
D12,56.1,41.9,180.0,top
D13,64.3,27.4,0.0,top
D14,70.5,27.4,180.0,top
D15,64.2,7.1,90.0,top
D16,67.5,52.4,180.0,top
D17,56.2,48.4,180.0,top
D18,56.2,52.3,180.0,top
D19,77.4,-9.0875,270.0,top
D2,85.4,-4.2,270.0,top
D20,82.6,-7.7875,90.0,top
D21,64.2,17.0,270.0,top
D22,78.36,-29.0,180.0,top
D23,55.7,-19.1,180.0,top
D24,55.8,-14.72,180.0,top
D25,64.5,-3.6,180.0,top
D26,70.5,-3.8,180.0,top
D28,67.6,-28.9,0.0,top
D29,55.9,-24.9,180.0,top
D30,55.9,-28.7,180.0,top
D7,77.0,33.1,90.0,top
D8,82.6,32.0,270.0,top
J2,84.6,5.64,90.0,bottom
JP1,85.6,27.95,270.0,bottom
JP2,73.4,20.2,90.0,top
JP3,80.1,28.3,0.0,top
JP4,73.3,3.0,90.0,top
JP5,80.2,-4.1,0.0,top
Q1,80.64,42.7275,0.0,top
Q2,67.74,42.82,0.0,top
Q3,78.84,-19.1725,0.0,top
Q4,66.74,-19.3725,0.0,top
R1,52.6,12.3,0.0,top
R10,73.0,37.1,180.0,bottom
R11,77.2,24.1,90.0,top
R12,63.5,24.3,180.0,top
R13,67.4,24.2,180.0,top
R14,54.1,40.13,270.0,bottom
R15,65.4,48.3,90.0,top
R16,72.97,48.6,180.0,bottom
R17,80.3,-7.1875,270.0,top
R18,80.3,-10.8875,270.0,top
R19,53.4,-16.62,90.0,bottom
R2,57.2,12.3,0.0,top
R20,81.06,-25.0,90.0,top
R21,72.97,-13.6,180.0,bottom
R22,63.6,-0.8,180.0,top
R23,67.4875,-0.8,180.0,top
R24,57.5,-16.62,90.0,bottom
R25,70.7,-24.9,270.0,top
R26,73.0,-25.4,180.0,bottom
R27,74.9,10.55,90.0,top
R28,77.8925,-1.375,0.0,top
R29,84.3,20.4125,90.0,top
R3,61.8,12.3,0.0,top
R30,84.3,16.7,90.0,top
R4,66.4375,11.9,0.0,top
R5,74.8,13.4,0.0,top
R6,80.1,31.3,90.0,top
R7,80.1,34.9,90.0,top
R8,58.4,40.18,90.0,bottom
R9,77.6,48.3,90.0,top
RV1,83.1,19.1,270.0,bottom
U1,0.0,0.0,0.0,top
U10,0.0,24.0,0.0,top
U2,79.765,18.325,0.0,top
U3,79.705,3.525,0.0,top
U4,72.095,34.105,90.0,top
U5,68.93,5.71,270.0,top
U6,68.93,17.91,90.0,top
U7,66.47,34.09,90.0,top
U8,72.33,-10.51,270.0,top
U9,66.505,-10.505,270.0,top
